Artist,Song,Genre,Language,Lyrics
tower of power,"since you've been gone (baby, baby, sweet baby)",Jazz,en,"Baby baby, sweet baby
There's something that i just got to say
Baby baby, sweet baby
You left me hurting in a real cold way
Speak your name
And i feel a thrill
You said i do
And i said i will
I tell you to just stay true
And give me just a little time
Wait on me baby

I want you to be all mine
I just get so blue
Since you've been gone
Why'd you do it 
Why'd you had to do it 
Why'd you do it 
Why'd you had to do it"
johnny gill,this one's for me and you,R&B,en,"you're like a melody that never goes away
you're the sweetest thing
an easy song to sing
your are like a work of art
so priceless to me
a timeless beauty from the movie screen
that never ever seems to fade
so baby put that glass down and turn the music up
it's like these words was written just for the two of us
do you remember that day in september
when we fell in love
this one's for me and you
so let the record play
i love the way
it makes your body move
it sounds so good to me
reminds me of you
and when the record plays a melody
love fills up the room
it sounds so good to me
this one's for me and you
girl we came so far
and beat out all the odds
they never thought we'd make it
but i knew it from the start
so let's celebrate
cause we got it good
a classic going down in history
feels just like we won the lottery
so baby put that glass down and turn music up
it's like these words was written just for the two of us
do you remember that day in september
when we fell in love
this one's for me and you
so let the record play
i love the way
it makes your body move
it sound so good to me
reminds me of you
and when the record plays a melody
love fills up the room
it sounds so good to me this one's for me and you
let it play
let it play
let it play
this one's for my baby
let it play
let it play
let it play
this one's for me and you
let it play
let it play
let it play
just for me and you girl
let it play
let it play
let it play
yeah
oh
so baby put that glass down and turn music up
it's like these words was written just for the two of us
do you remember that day in september
baby
when we fell
when we fell in love
this one's for me and you
so let the record play
i love the way
it makes your body move
it sounds so good to me
reminds me of you
and when record plays a melody
love fills up the room
it sounds so good to me this one's for me and you
let it play
let it play
let it play
hey
we're gonna sit back down
yes we are
with a glass of wine
let it play
let it play
let it play
for my baby
for my girl
this one's for you
let it play
let it play
let it play
for my baby
for my girl
this one's for you
let it play
let it play
let it play
for my baby
for my girl
this one's for you"
robben ford,keep on running,Jazz,en,"Keep on running, keep on hiding
One fine day I'm gonna be the one
Who makes you understand
Oh yeah, I'm gonna be your man

Keep on running, running from my arms
One fine day I'm gonna be the one
Who makes you understand
Oh yeah, I'm gonna be your man

Everyone is laughing at me
Make me feel so sad
And everyone keeps talking about me
And make me feel so bad
Keep on running

Everyone is laughing at me
And make me feel so bad
Everyone keeps talking about me
Make me feel so sad

Keep on running, running from my arms
One fine day I'm gonna be the one
To make you understand
Oh yeah, I'm gonna be your man
Hey, I'll be your man

Let me feel alright
Yeah yeah
I'm gonna be your man

"
darkside,intro,Electronic,en,"Ohh wee 
 My darlin '
 Can I make love to you tonight 
 Sweetheart 
 I will do you right 
 I can make you feel so good 
 I'm in the mood to make love tonight"
lights,and counting...,Rock,en,"Forty days and counting
I'm going to sleep
When I wake up there will be
Thirty nine more days left

When I fall asleep I feel you with me
When I fall asleep I feel you with me
When I fall asleep I feel you with me
'Til I fall asleep and you are with me

Ooh, ooh, ooh, ooh

Thirty days and counting
I'm going to sleep
When I wake up there will be
Twenty nine more days left

When I fall asleep I feel you with me
When I fall asleep I feel you with me
When I fall asleep I feel you with me
Until I fall asleep and you are with me

When I fall asleep I feel you with me
When I fall asleep I feel you with me
When I fall asleep I feel you with me
Until I fall asleep and you are with me

Ooh, ooh, ooh, oh"
chingy,hate it or love it,Hip-Hop,en,"Uh Yeah, yeah, yeah Hate it or love it. [x16] [Spoken: I dedicate this to all my enemies All the motherfuckers who don't like me Don't like what I'm doing [fuck!] Don't like that I'm getting this money Don't like that I'm back with the DTP family. Luda, what up? Y'all can suck a dick, though This your boy, Ching-a-ling St. Louis to Atlanta, Atlanta to New York, New York to Cali. Worldwide! You heard! Let's go.] I know you cowards heard of me You probably want to murder me Ya hustlers to the third degree I cut you like it's surgery We hold court in the street and you committed perjury Don't be nervous, B, the ambulance can't make this emergency Urgently and purposely I'm hurting the competitor who irking me is gon' be Closed curtains, see Blaze up the purple weed The herbal trees give me the need to work a beat Flow so for a hit that I deserve to be Just work with me Holy riders in my circle be Not no rubber football but my turf with me Think of jerking me Out my dollar bills? Beat that cat four months ago And you can hear him holler still Am I a G? Certainly. So ain't no murking me Phony cats be perping, B While y'all dames be slurping me Lurking, we creep at night Pop on slight and hurt the beast Nobody know where you at Tell mama to search the streets Hate it or love it. [x16] [Spoken: I don't give a fuck if you niggas don't like me I don't give a fuck! I don't give a fuck if you bitches don't like me Eat a dick, nigga. I wasn't put on this Earth for you to like me, man I was put on this Earth to get money. And live my life Ha ha! Uh huh Don't ask me how my career doing. My career doing just fine I'm good, man, I'm good. Just fine without you hypocrites and you critics With all that gossip and bullshit. Let's go!] Disrespect the clique, neglect the clique, the tec'll spit, we wreck this shit We rep the strip, y'all dudes broads - shoulda had breasts and shit Confess to this, I'm the next to hit Back for the first time, still rep what's on my necklace bitch Bitch! No, I can't cry about the past Left Capitol and signed with Def Jam on they ass Let's get mo' money, real fast, I'm in first, you still last You the worst, I feel bad for you fags I feel sad that I had to buy the new Range Cause the Jag got crashed, my bad I know that's arrogant But I don't care, and shit Shit, I got rich from saying ""Right Thurr"" and shit Hate it or love it. [x16] [Spoken: Crazy, ain't it? That's wild, that's wild It ain't even like I made the word up, nigga, that's how I talk That's how we talk in the Lou. That shit made me a millionaire Getting money! That sound kinda cocky? So what? Fuck it! Get money! Let's get it! But you know these motherfuckers everyday they always coming up to me asking me Aw shit, there they go asking me questions again.] Is me and Luda cool? Did you and Luda feud? Today's news, I ain't in the motherfucking mood I get [?] with dudes [?] living your [?] That's old, this new, this any of us, you getting burned In which ya' raps I ain't concerned Got a check for some mill, I signed off, so it's confirmed Eh, look, homie, wait your turn I ain't broke, nigga, look here, I'm straight as a perm Hate it or love it. [x16] [Spoken: As a perm, nigga, I'm good! That's straight as hell Y'all just need to start making sure y'all good Stick your nose outta other motherfuckers' business, man I'm doing a'ight, my family's doing a'ight My homies doing a'ight Shout out to my niggas locked up! Even my broads doing a'ight On they own! 'Cause I ain't giving them a dime! Not a dime! That sum it up for you niggas? Hate me or love me, baby, I'm out. Ching-a-ling Jackpot. [?] Deserve!]"
ernest tubb,mean mama blues,Country,en,Theres lots of mean women on almost any street Lord Theres lots of mean women on almost any street But Ive got the meanest Mama that ever walked on two feet That gal is so low down I often wonder why Lord shes so low down I often wonder why That she keeps on livin I guess shes to mean to die Now you triflin women always say you love your man Lord you triflin women always say you love your man And when he goes out the front door the back door lets a new man in (Ah maybe two of them) Now theres two things in this world I dont understand Lord theres two things in this world that I dont understand One of thems a woman the other ones a man
dum dum girls,season in hell,Indie,en,"Anything we should know about your change? 
From shots, broken hearts, tears from desert eyes
Something new is dreamed
A confession's not a cure, 
There's always darkness to endure
On the path to be redeemed

It's been a season in hell
Baby don't you know
A season in hell

All the saint's in the shadows, hear them present remedies
Forget all your enemies

It's been a season in hell
Baby don't you know
A season in hell

Doesn't dawn look divine
Doesn't dawn look divine
Doesn't dawn look divine

Lift you gaze
It's the end of days

It's been a season in hell
Baby don't you know
A season in hell

Doesn't dawn look divine
Doesn't dawn look divine
Doesn't dawn look divine

Lift you gaze
It's the end of days"
aaron neville,the grand tour,Jazz,en,"Step right up, come on in If you'd like to take the grand tour Of the lonely house that once was home sweet home I have nothing here to sell you Just some things that I will tell you Some things I know will chill you to the bone Over there, sits the chair Where she'd bring the paper to me sit down on my knee and whisper ""Oh, I love you"" But now she's gone forever And this old house will never Be the same without the love that we once knew Straight ahead, that's the bed, where we'd lie in love together And Lord knows we had a good thing going here See her picture on the table, don't it look like she'd be able Just to touch me and say ""good morning dear"" There's her ring, all her things, and her clothes are in the closet Where she left them when she tore my world apart As you leave you see the nursery, oh she left me without mercy Taking nothing but our baby and my heart Step right up, come on in, come on in"
brad paisley,364 days to go,Country,en,"Wrapping paper everywhere Stacked up dishes, but who cares They can wait until tomorrow now It's you and me, and this old couch The Christmas tree in our living room Fills the room with pine perfume And colored lights dancing on the walls While Nat King Cole sings ""Deck The Halls"" Don't you get the sense tonight That for now the world is right And as another Christmas ends My mind drifts and once again I'm thinking like a six year old Only 364 days to go Max got his bike I swear, that kid He's got it parked right by his bed Jenny sure loves her puppy too I'm not sure just who walked who Thanks for my robe, no that's ok It looks better on you anyway What is it about this time of year That makes our troubles disappear 'Cause don't you get the sense tonight That for now the world is right And as another Christmas ends My mind drifts and once again I'm thinking like a six year old Only 364 days to go We can't avoid it No way around it Before too long we'll be Either back to work back to school Or just back to reality Don't you get the sense tonight That for now the world is right And as another Christmas ends My mind drifts and once again I'm thinking like a six year old Only 364 days to go Be here before you know it"
black buddafly,everything,Hip-Hop,en,"Is it just because you like me that I wanna be where you be Is it the way you tell me goodbye that whenever you go I wanna follow Is it the way your eyes blink or the way you tie your shoe strings Or what you talk about could it be more to what and its right now Tell me, is it the way you tease me by looking hot so easily Is it the way you wear your pants low that makes me wanna get down with you, I dont know what it is Could be the voice I hear when you say Baby girl you make my day better When we are together, are we meant for each other And I dont know what it is that makes me wonder Boy I guess its everything I look at you and it makes me wonder Why I just like everything Cause everything you do and everything you say Its like I cannot find anything that aint right They say it must be something but I just like everything Is it the way youre not trying and still you always keep me smiling The side of you that can be so tough or your innocent kisses I cant get enough Is it you calling in the morning saying Baby Im falling back asleep That makes me wanna keep you forever, no doubt, it aint no one better And I dont know what it is that makes me wonder Boy I guess its everything I look at you and it makes me wonder Why I just like everything Cause everything you do and everything you say Its like I cannot find anything that aint right They say it must be something but I just like everything And Oh I love how you comfort me Seems like you know exactly whats right when its right And in my mind I think you must stay, please stay with me And Oh not supposed for you to wait have you wanting more I know Im love You and all you do and I dont care why, no And I dont know what it is that makes me wonder Boy I guess its everything I look at you and it makes me wonder Why I just like everything Is everything you do and everything you say Its like I cannot find anything that aint right They say it must be something but I just like everything Everything that you do, love everything that you say (Boy I guess its everything) Love everything that you do, love everything that you say (Boy I just like everything) Everything that you do, love everything that you say (Cannot find anything that aint right) Love everything I should do They say it must be something, but I just like everything"
corinne bailey rae,breathless,Pop,en,"Seems like everyone else has a love just for them
I don't mind; we have such a good time, my best friend
But sometimes, well I wish we could be more than friends
Tell me, do you know?
Tell me, do you know?
Oh

I get so breathless when you call me name
I've often wondered, do you feel the same?
There's a chemistry, energy, a synchronicity when we're all alone
So don't tell me you can't see what I'm thinking of

I can understand that you don't want to cross the line
And you know I can't promise you things will turn out fine
But I have to be honest: I want you to be mine
Tell me, do you know?
Tell me, do you know?
Oh

I get so breathless when you call me name
I've often wondered, do you feel the same?
There's a chemistry, energy, a synchronicity when we're all alone
So don't tell me (don't you tell me) you can't see
Oh!

'Cause I've tried to do this right in your own time
I've been telling with my eyes my heart's on fire; why don't you realize?
Tell me, do you know?
Tell me, do you know?

I get so breathless (I get so breathless when you call my name)
I've often wondered, do you feel the same?
There's a chemistry, energy, a synchronicity when we're alone
So don't tell me (don't you tell me) you can't see what I'm thinking of

I get so breathless when you call me name
I've often wondered, do you feel the same?
There's a chemistry, energy, a synchronicity when we're all alone
So don't tell me (don't you tell me) you can't see what I'm thinking of"
the orwells,bathroom tile blues,Indie,en,"I'll wait another night until you feel right
Let's put a meaning to this saying
""I'll only do you right"", another neck to bite,
Another heart beating in my head
Don't make me scream and shout
Don't make me leave in doubt 
It already happened once or twice
I'm not the only man
Don't try to hold my hand
I need a lot of love in my life

Another vacant room
I'm not shitting you
I've got the bathroom tile blues
A bunch of empty bottles
Bunch of [?] Models
It's the best that I can do

I never did you good 
Like mother said I would
Just an empty shell inside
I'll mess up every time
Committed every crime
Go to a hotel room to hide

Another vacant room
I'm not shitting you
I've got the bathroom tile blues
A bunch of empty bottles
Bunch of [?] Models
It's the best that I can do"
anja garbarek,something written,Electronic,en,"There was something Written down Somewhere. I don't quite remember where. But, That's not so important Now is it? There was something Written down Somewhere. I don't remember who Wrote it, Nor the year. And I cannot recall Word By Word What it was. But, It brought a feeling ofÃ¢?Â¦ It's difficult To explain. But, I sort of had the Urge to, Well, Write it down. And perhaps Even memorize it, So that I could Impress youÃ¢?Â¦ There was something Written down Somewhere. I don't quite remember where. But, That's not so important Now is it? As long as there was something writtenÃ¢?Â¦ Down!"
cledus t judd,hip hop and honky tonk,Country,en,"Richard Fagan/Joe Collins, Of Music, Inc (ASCAP/Life's A Pitch/Joe Collins Music (ASCAP)/Foray Music administered by EMI Music (SESAC) Hey hoe come on lets go Well I was born a country boy Raised on Haggard and Strait She was born in da hood She sure looks good And she thinks rap is great So we meet in the middle Beat box and a fiddle Together were bad to the bone Now I'm clogging to Snoop Doggy Dogg And she's break dancing to Jones Its hip hop and honky tonk We can bust a move to a funky groove Or a hardcore country song Come on let's throw down Gonna have a hoedown Party all night long Its hip hop and honky tonk From outlaw country to gangsta rap Together we's riding home From Soul Train to Shania Twain Wes got it going on Yippie yi yo look at her go Mama really knocks me out From Jo Dee Messina to funky cold medina That's what its all about It's hip hop and honky tonk We can bust a move to a funky groove Or a hardcore country song Come on lets throw down Gonna have a hoedown Party all night long Its hip hop and honky tonk Oh we loves the man attraction Any ole dance will do We like all the Jacksons Janet, Michael, Tito, Stonewall, Jessie, Reggie, Alan too Its hip hop and honky tonk We can bust a move to a funky groove Or a hardcore country song Come on lets throw down Gonna have a hoe down Party all night long Its hip hop and honky tonk Its hip hop and honky tonk Yeah I wanna send out a holler out To my home boys down there at the Scully Mully clean up shop Ya know nails, and crumbling, and woo bow hair Ya know I love you Work it Cledus"
c murder,damned if they murder me,Hip-Hop,en,"[C-Murder] I be damned if I do, and damned if I don't Hail Mary, please help me, cause I know my foes won't rest -- until they see me surrounded by grief wear a wrief, and my grave reading rest in peace How can the whole world hate me and turn they back? Cause I'ma TRU motherfucker, any nigga know that I stand my ground, ain't trippin' on what turf you claim I put my faith in God's hands, it's a white man's land Straight from the wounds of my momma's belly to the streets, to the pen, I wish somebody'd tell me Cause I'm lost like a needle in the hay Before I lay, I pray, and steady searchin' for a better day And I'm guilty for the crime of telling the truth And my conviction is the blame for whatever you do And backpains from the world on my shoulder blades But I be damned if they send me to an early grave Chorus [C-Murder, (Ms. Peaches)] [C-Murder] I be damned if they murder me Until I die, I'll be high when they bury me I never lie, I'm worry free until I rest my soul I resurrect for revenge with my eyes closed I be damned if they murder me Until I die, I'll be high when they bury me I never lie, I'm worry free until I rest my soul I resurrect for revenge with my eyes closed [Ms. Peaches in background] Searchin' for my soul, but I can't seem to find it I see fear in my eyes, Lord tell me why, am I Searchin' for my soul, but I can't seem to find it I see fear in my eyes, Lord tell me why [Mac] Illegal business enters the streets, God is my witness I made a million niggas hit list, yet I'm alive To live and breathe, my life is a hole in four The mysteries of old are now told You reap what your soul, and I seen alot of guns unload Sometimes over gold, many over control But in the eyes of thier own kind, niggas are bold But in the hands of their enemy, fears unfold It's a cold world, only if your brain is froze So we murder our bros, over money and clothes And where I'm from, these niggas carry mad 44's But be in bitch mode, at any site of any popo's If you a soldier, then nigga play this game with soul Look get your mind right, and leave that bullshit to commodes Peep the words of God, with baggy clothes and fros Everything insist for a purpo', book closed [C-Murder] I be damned if they murder me Until I die, I'll be high when they bury me I never lie, I'm worry free until I rest my soul I resurrect for revenge with my eyes closed I be damned if they murder me Until I die, I'll be high when they bury me I never lie, I'm worry free until I rest my soul I resurrect for revenge with my eyes closed [Ms. Peaches in background] Searchin' for my soul, but I can't seem to find it I see fear in my eyes, Lord tell me why Searchin' for my soul, but I can't seem to find it I see fear in my eyes, Lord tell me why [Magic] They call us lost souls, but done so much wrong, done made so many niggas fold And fucked over so many hoes, screaming fuck my foes And I knew I was wrong But I been having a violent temper since the day I was born But it's that same determantion, that's got me up in the eyes of the whole nation I just hoping that they what I'm facin' For the drama that I caused in my past Living crazy, know I was heading nowhere fast My whole family pointed the finger thinking I couldn't succeed Cause I'm thuggin' on the corner man, smoking my weed Sellin' my yayo cause I had no other way, for making my pay Keepin' a decent fucking place for me to stay But still I'ma hustler, my every word is like bustin' at you motherfuckers And I won't stopped til I'm heard by the whole planet I keep it real, cause you fake niggas can't stand it And I be damned if they bury me....."
ernest tubb,are you mine,Country,en,Are you mine all life through will you kiss me when I'm blue Will you whisper I love you and make all my dreams come true Will you share the good and bad bring me joy when I am sad Tell me darling are you mine and only mine Are you mine (yes I am) all the time (yes I am) Mine alone (yes sirree) all my own (all your own) No one else will ever do I'll be yours and I'll be true Don't worry dear have no fear cause I'm yours Are you mine tell me dear will I always have you near Will the love light always shine in your heart just like in mine Will you give as well as take keep the vows that you will make Tell me darling are you mine and only mine Are you mine (yes I am) all the time (oh yes I am) Mine alone (you're only one) all my own (absolutely) No one else will ever do Are you mine rich or poor tell me darling are you sure Will you whisper yes I do and forever love me true Will you honor and obey will you promise not to stray Tell me darling are you mine and only mine Are you mine (yes I am) Don't worry dear have no fear cause I'm yours
moby,i'm in love,Electronic,en,"i'm in love
i'm in love
i'm in love with you
i'm in love. trouble i don't want understand anymore
ohohoh. don't think i understand anymore
ohohoh. i'm in love
i'm in love
i'm in love with you
i'm in love. trouble i don't want understand anymore
ohohoh. i don't think i understand anymore
ohohoh. i'm in love
i'm in love
love
love
love
love
love
is a love
oh
is a love
oh
oh
is a love
oh. i'm in love
i'm in love
i'm in love with you
i'm in love. trouble i don't want understand anymore
i don't think i understand anymore."
dj encore,you can walk on water,Electronic,en,"Baby you can walk on water

Tell me 
What you need to know
About the destiny before
Before it fades away
Maybe I could
Try to understand
What you feel inside i know,
You'll make it through someday.

Baby you can walk on water 
Baby you can fly like a bird
You can walk through a fire
Without even getting hurt
Baby you can breathe once again
You can reach the highest mountain
You can do what you want
It's up to you

Baby you can walk on water

Sometimes when I think of you
I feel the magic to the heart
It's all matter of faith
You see i know
What is wrong inside
You have to give it time and than
You'll make it through someday

Baby you can walk on water 
Baby you can fly like a bird
You can walk through a fire
Without even getting hurt
Baby you can breathe once again
You can reach the highest mountain
You can do what you want
It's up to you

Baby you can walk on water"
coheed and cambria,"goodnight, fair lady",Metal,en,"Good evening, ladies and gentlemen
I have a story to tell you of ones slow decline
Where a girl yanked on the strings
To break this man's heart

Oh lord, I think I deserve a little better than this
I think I've earned it
So I'll just keep humming this song
And hope you follow

Turn me over, roll me 'round
To find the truth that I don't want found
Oh, don't believe everything you hear
I'm the snake waiting for you dear
And eventually you'll come to me
I know you will..
oh, I know you will

You're lipstick-crazy, I make my pass
The drink turns over, the glass smashed
And with the kindness and my smarts
I replace your pleasure
With a friend at the bottom

Turn me over, roll me 'round
To find the truth that I don't want found
Oh, don't believe everything you hear
I'm the snake waiting for you dear
And eventually you'll come to me
I know you will

Ooh, it's my fate to be your biggest mistake
Oh, oh, I'll tell you all you want to hear
Until you scream

I know you will

Oh, goodnight, oh, goodnight, fair lady

Oh, turn me over, roll me 'round
To find the truth that I don't want found
Oh, don't believe everything you hear
I'm the snake waiting for you dear
And eventually you'll come to me
And eventually you'll come to me

Oh, we can agree to disagree
Maybe that was you then, but now this is me
And eventually you'll come to me
Baby, I know you will

(Caution: second identity identified)"
eddy arnold,that s how much i love you,Country,en,"Well if I had a nickel I know what I would do I'd spend it all for candy and give it all to you I'd spend it all for candy and give it all to you 'Cause that's how much I love you, baby That's how much I love you Well if you were a kitten with pretty glossy fur I'd take you up and stroke you and listen to you purr I'd take you up and stroke you and listen to you purr 'Cause that's how much I love you, baby That's how much I love you Oh if you were a tiger, I'd hang around your den I'd pester you, my honey until' you let me in Oh I'd pester you, my honey until' you let me in 'Cause that's how much I love you, baby That's how much I love you Well if you were a horsefly and I an old gray mare I'd stand and let you bite me and never move a hair I'd stand and let you bite me and never move a hair 'Cause that's how much I love you, baby That's how much I love you Well if you wanna marry now let me tell you what We'll go and find the parson and let him tie the knot We'll go and find the parson and let him tie the knot 'Cause that's how much I love you, woman That's how much I love you"
tom brosseau,how to grow a woman from the ground,Indie,en,"I caught a string full of fish/
down at the damn/
and I take them to the field/
they should be dead by then/
and I wipe the sweat from my neck/
and tally hoe the plow/
'Cause 'ima gonna grow a woman from the ground/
 
the night was a cahlk board with a fingetr nali moon/ 
and the fish aint dead yet/
they will be pretty sonn/ 
oh its the same kind of feeling in an old folks home/
even though you love them you cant wait for them to go/
and I will take her into town and shoe her off/
threes room on your dress for a corsage/
and Ill open every door for you /
and then I pulled out an almanak and thats were I read/

cut your wrist on the fisns of the fish and drain all that you can /
and I rolled both my sleevess in then began to draw/
lines just as deep as days are long /
and I'll name her angelina she was a teacher I  once had/
and a halo made of honey ran around her head/
and she always use to give me some/
when i was a kid and then I told her that I loved her and then I went and hid/

now I'll sow up my skin and sow the land with my blood/
and I stained up my slothes pretty good/
and I turened the dirt to mudd/ 
and i cannot help to close my eeyes and lay my body down/
cuz i heard it takes forever to grwo a woman form the ground/

and I bleed for you and now Im skinny as a rail/
and I'll be so obliged to keep you nice and warm and safe/
oh wont you be so fond of me/
(magical hum)"
dave swarbrick,rosie,Folk,en,"Swarbrick

I know Rosie
You're living in a world you didn't make
And I know it's hard feeling happy
When the things you want aren't even there to take

Come on Rosie, rosin up the bow
For the more I learn it's the less I seem to know
Lie down cozy and let's learn to take things slow
For the more I learn it's the less I seem to know
Of my Rosie
Come on, my Rosie, rosin up the bow

Throw away your uniform
Now's the time to take things by the hand
Come on in and take your coat off
Settle down and listen to the band
And ain't that grand, Rosie

Come on Rosie, rosin up the bow
For the more I learn it's the less I seem to know
Lie down cozy and let's learn to take things slow
For the more I learn it's the less I seem to know
Of my Rosie
Come on, my Rosie, rosin up the bow"
cerrone,hooked on you,Electronic,en,"* Everybody's out there crying trying for the maximum Everybody's out there searching taknig turns of making Thrills of life Everybody's running from it looking for the maximum Everybody's out there hunting for something the minute That you... Don't need no no grass or cocaine I'm hooked on you Don't need no pills or champagne I'm hooked on you You bring that fresh old feeling From now on you're all I'm needing I'm hooked on you, yeah Now that my sad days are over Crying over my shoulder I'm hooked on your love Don't need no no grass or cocaine Don't need no pills or champagne I've got you I'm so hooked on you Very hooked on you* *~* Repeat"
royal hunt,give it up,Metal,en,"Give it up just let it flow,
Keller's runnin' TV show.
Razor blade in action - everything is ""live"",
Scandal makes a paper ""hot"",
You may like it, you may not.
Marriage, rape, divorce, somebody's butchered wife.

Empire rise, they're built on lies,
In the children's eyes, I'll never...

Give it up, never ever give it up!

Little kid some place abroad,
Shot dead by the terror squad.
Only one? Just not enough to ring a bell!
TV preacher will love to tell you,
Pay a dime and God's for sale.
Don't get scared it's just another day in hell.

Empire's turn, they're built burn,
We'll never learn - I'll never...

Give it up, never ever give it up!"
al green,i ve been waitin on you,R&B,en,"Oh baby What's taking you so long? I've been waiting on the phone Oh, you haven't been home Where have you gone? What do you know And where do you go Oh, I love you so I've been waitin' on you Oh baby, let me hear I got over you You weren't real anyway Oh, why did you say I love you so Before I learned my A be see These things are true to me Whole world to see I've been waitin' on you, hey Oh, baby, where did you go I love you so, hey Oh baby, thought you'd never go I love you so Where have you gone? Where did you go? Been calling out your name Always the same But I have enough to blame Died over you You wasn't real, no way What did you say? I've been waitin' on you Hey, baby, oh Baby, where did you go, I love you so (I've been waitin' on you) Got over you, oh no, it's true, oh yeah (I've been waitin' on you) (I've been waitin' on you) Love you, baby, yeah I'm gonna wait on Waiting by the telephone (I've been waitin' on you) Why you ain't at home? (I've been waitin' on you) (I've been waitin' on you) Waitin', waitin', waitin', waitin' (I've been waitin' on you) Hey, I've been waitin' (I've been waitin' on you) Waitin' on, waitin' on, waitin'"
brotha lynch hung,187 on a hook,Hip-Hop,en,Its 187 on a motherfucking hook niggas out of bounds should have shook we banging by the book got shot in the neck trying to get away and to a vigi it ain't nothing but gun play Its 187 on a motherfucking hook niggas out of bounds should have shook we banging by the book got shot in the neck trying to get away and to a vigi it ain't nothing but gun play Buck these niggas I'm a killa sreaming regime deep navis wit heat like the A team and when my K scream its causing nothing but murder bucking these niggas making hate me Yeah nigga we don't give a fuck nigga we thug lords connected from tech n9ne and touched for the thug war whose got love for these niggas wit no love at all give a fuck guns clutched only left a ball I know you heard of me wanna murder me cause I'm the nigga that cooked the bird ?? In the kitchen moms itchin had the whole gang unwrapping chickens nigga and we was headed for the jack strapped wit a fat gat all my niggas down to rat tat tat tat west coast bad boys we was yelling now west coast mafia regime and thug zellin nigga 187 on a motherfucking hook niggas out of bounds should have shook we banging by the book got shot in the neck trying to get away and to a vigi it ain't nothing but gun play Its 187 on a motherfucking hook niggas out of bounds should have shook we banging by the book got shot in the neck trying to get away and to a vigi it ain't nothing but gun play Try to get me for my scratch and you get your arm detached if you try to rip me on a track I put you in a ziploc napsack believe it I get glocks at that price I'm like martini and rossi Austispumante alright niggas that kill em up on sight killa nigga night something wit tinted widows dumpin at you hit dump compliments of south sacramento you could ask lil zar or big zow I'm a monster I keep long gats like charles bronson and I'm on some put you in the trunk all fucked up and lonesome its gon come armageddon nigga my arms is sweating cause I been busting them model thangs see I'm good with the weapon plus I really don't like you nigga you whole crew can't bust and I felt that shit way back when you was down wit us clown wit us used to smoke a pound wit us now I'm bound to cut you and your homies up nobody even heard your stuff said its 187 187 me and see-Bo and Tech N9ne on your bunker bunking wit a mac 11 187 on a motherfucking hook niggas out of bounds should have shook we banging by the book got shot in the neck trying to get away and to a vigi it ain't nothing but gun play Its 187 on a motherfucking hook niggas out of bounds should have shook we banging by the book got shot in the neck trying to get away and to a vigi it ain't nothing but gun play Nigga to catch this nigga I'm ready to peel one instead of the shoulders I gotta diss toward a niggas grill some vigalantee and villigan regime niggas come wit steel guns get ready to sleep cause you tripped when you fuck wit a villain which one of y'all motherfuckers said fuck Tech N9ne shady Pacino turned see-hoe when I clutched that n9ne me and my nigga see-Bo Yuk mezzole not only bust that rhyme we can do it illegal so the evil'll give a fuck next time nigga don't you ever spit my name cha and thinking that shits the same cha two thou we switched the game and spit the flame wah Allah oh akbar Is what I say before I buck ya motherfuck busters like vell bakardy yeah nigga had enough ya get ready to suffer kneel down nigga Tech N9ne Killa Klown nigga six feet underground is where your found nigga 40 water would never did a song witcha if he knew the song was about me never make a million next time say my name say my name like destinys children bitch Its 187 on a motherfucking hook niggas out of bounds should have shook we banging by the book got shot in the neck trying to get away and to a vigi it ain't nothing but gun play Its 187 on a motherfucking hook niggas out of bounds should have shook we banging by the book got shot in the neck trying to get away and to a vigi it ain't nothing but gun play
justin bieber,yellow raincoat,Pop,en,"Guess I'll put on my raincoat, my yellow raincoat
Baby, it's keeping me dry
I put on my raincoat, my yellow raincoat
You know exactly why

When the wind blows, and the sun goes away
And the sand fall, stormy day,
That's what it's for, yeah, that's what it's for, yeah
And as it pours down, the water sprinkles off my jacket slow yeah,
Jacket slow yeah

Well never do I ever do I ever want this to phase me
Well never do I ever do I want this thing to make me
'Cause the fame and the money, and the girls will drive you crazy
And all the ""He said, she said"", I'm thinking maybe
Just put on my

Guess I'll put on my raincoat, my yellow raincoat
Baby, it's keeping me dry
I put on my raincoat, my yellow raincoat
You know exactly why

But as I look around, I see
What nothing can never, change me uh
Well, all I gotta do is stay me yeah
Let's the rest do the work and I'm sure that it'll be fine, be fine

When the wind blows, and the sun goes away
And the sand fall, stormy day,
That's what it's for, yeah, that's what it's for, yeah
And as it pours down, the water sprinkles off my jacket slow yeah,
Jacket slow yeah

Well never do I ever, do I ever want this to face me
Well never do I ever, do I want this thing to make me
'Cause the fame and the money, and the girls will drive you crazy
And all the ""He said, she said"", I'm thinking maybe
Just put on my

Guess I'll put on my raincoat, my yellow raincoat
Baby, it's keeping me dry
I put on my raincoat, my yellow raincoat
You know exactly why

Just put on my
Just put on my
Just put on my

Guess I'll put on my raincoat, my yellow raincoat
Baby, it's keeping me dry
I put on my raincoat, my yellow raincoat
You know exactly why yeah

Uh, oh oh, yeah"
